INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
CUNY Queens College,Queens,NY,2,Mid East,1,Public,0.6435,1120.0,12550,7538,15488,0.5325,62763
California Institute of Technology,Pasadena,CA,8,Far West,2,Private nonprofit,0.0257,,987,65898,65898,0.9437,128566
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,8,Far West,1,Public,0.3132,,21996,13596,34665,0.864,90768
California State Polytechnic University-Pomona,Pomona,CA,8,Far West,1,Public,0.7517,,25042,7780,20380,0.6843,71902
California State University-Chico,Chico,CA,8,Far West,1,Public,0.9272,,13631,8472,21072,0.6278,64172
California State University-Dominguez Hills,Carson,CA,8,Far West,1,Public,0.933,,12538,7449,20049,0.4279,57162
California State University-Fresno,Fresno,CA,8,Far West,1,Public,0.9526,,21605,7350,19950,0.5696,61244
California State University-Fullerton,Fullerton,CA,8,Far West,1,Public,0.9052,,38546,7470,20070,0.7018,62951
California State University-Long Beach,Long Beach,CA,8,Far West,1,Public,0.4627,,35924,7350,19950,0.6888,64403
California State University-Los Angeles,Los Angeles,CA,8,Far West,1,Public,0.9125,,19562,7160,19760,0.5298,59211
California State University-Northridge,Northridge,CA,8,Far West,1,Public,0.9345,,32691,7458,20058,0.5695,59115
California State University-Sacramento,Sacramento,CA,8,Far West,1,Public,0.9399,,28350,8018,20618,0.5629,64876
California State University-San Bernardino,San Bernardino,CA,8,Far West,1,Public,0.9374,,15023,8093,20693,0.549,59977
California State University-San Marcos,San Marcos,CA,8,Far West,1,Public,0.951,,14877,8082,20682,0.5456,62908
Carleton College,Northfield,MN,4,Plains,2,Private nonprofit,0.2041,1517.0,2086,68892,68892,0.896,75525
Carnegie Mellon University,Pittsburgh,PA,2,Mid East,2,Private nonprofit,0.1166,1546.0,7304,66246,66246,0.9413,114862
Central Michigan University,Mount Pleasant,MI,3,Great Lakes,1,Public,0.8982,1091.0,10035,14760,14760,0.5872,55874
Central Penn College,Summerdale,PA,2,Mid East,3,Private for-profit,0.1846,,662,19854,19854,0.5091,45370
Chamberlain University-Illinois,Addison,IL,3,Great Lakes,3,Private for-profit,0.8264,,14027,21536,21536,0.4167,92405
